longitud,latitud,iata_code,airport_name,region,country,dep_amount,pass_amount
10.4354221,-73.24902965045095,VUP,Alfonso López Pumarejo Airport,Valledupar,Colombia,1,6
-17.6594809,-63.13846624460784,VVI,Viru Viru International Airport,Santa Cruz,Bolivia,22649,2591449
52.1868444,-7.086350954115158,WAT,Waterford Airport,Waterford,Ireland,2,5
-22.4822038,17.472054302453607,WDH,Windhoek Hosea Kutako International Airport,Windhoek,Namibia,5,297
-41.32710435,174.80796709422714,WLG,Wellington International Airport,Wellington,New Zealand,3,412
52.450885650000004,20.648988117621318,WMI,Modlin Airport,Warsaw,Poland,1,1
51.1051232,16.88107379697871,WRO,Copernicus Airport Wroclaw,Wroclaw,Poland,6,2
26.6883433,-78.9834305553414,WTD,West End Airport,Grand Bahama,Bahamas,79,5967
30.77382425,114.21236810445089,WUH,Wuhan Tianhe International Airport,"Wuhan, Hubei",China,2026,370544
42.3114714,-82.0759452,XCM,Chatham-Kent Airport,"Chatham-Kent, Ontario",Canada,2,10
27.98876455,102.1845480169798,XIC,Xichang Qingshan Airport,Qingshan,China,3,No info
34.43866385,108.7580567206632,XIY,Xi'an Xianyang International Airport,"Xianyang, Shaanxi",China,378,62639
24.543830049999997,118.13265145897324,XMN,Xiamen Gaoqi International Airport,"Xiamen, Fujian",China,872,183315
36.74377795,-6.064049514261415,XRY,Jerez Airport (La Parra Airport),Jerez de la Frontera,Spain,5,238
21.51570485,-71.52983439004242,XSC,South Caicos Airport,South Caicos,Turks and Caicos Islands,653,No info
1.4170202,103.86808181112622,XSP,Seletar Airport,Seletar,Singapore,2,6
46.4832241,-84.50593834304985,YAM,Sault Ste. Marie Airport,"Sault Ste. Marie, Ontario",Canada,83,5975
9.49898575,138.08313625016342,YAP,Yap International Airport,Yap,Federated States of Micronesia,10139,798180
52.9275937,-82.43111259693612,YAT,Attawapiskat Airport,"Attawapiskat, Ontario",Canada,24,555
49.08161545,-125.77932069107595,YAZ,Tofino Airport,"Tofino, British Columbia",Canada,720,2458
48.331432500000005,-70.99492946501087,YBG,Bagotville Airport,"Bagotville, Quebec",Canada,18,552
49.9540995,-125.27572028227023,YBL,Campbell River Airport,"Campbell River, British Columbia",Canada,10793,47083
49.05294715,-123.87077170725448,YCD,Nanaimo Airport,"Nanaimo, British Columbia",Canada,2625,7963
50.0203018,-124.9840012,YCF,Cortes Island Aerodrome,"Cortes Island, British Columbia",Canada,619,3646
47.0078011,-65.4492035,YCH,Miramichi Airport,"Miramichi, New Brunswick",Canada,7,197
67.02074845,-126.12863549570841,YCK,Colville Lake/Tommy Kochon Aerodrome,"Colville Lake, Northwest Territories",Canada,15,53
47.990799,-66.3302994,YCL,Charlo Airport,"Charlo, New Brunswick",Canada,39,173
67.81699259999999,-115.14514387808345,YCO,Kugluktuk Airport,"Kugluktuk, Nunavut",Canada,1,6
64.04402830000001,-139.12349875910493,YDA,Dawson City Airport,"Dawson City, Yukon",Canada,791,4396
58.420088500000006,-130.0364383156042,YDL,Dease Lake Airport,"Dease Lake, British Columbia",Canada,2,19
55.7414723,-120.1827832047685,YDQ,Dawson Creek Airport,"Dawson Creek, British Columbia",Canada,7,No info
51.00902325,-2.643919376135245,YEO,RNAS Yeovilton,"Yeovilton, England",United Kingdom,3,No info
63.757401900000005,-68.55238356809608,YFB,Iqaluit Airport,"Iqaluit, Nunavut",Canada,573,9579
49.6941986,-124.5179977,YGB,Texada/Gillies Bay Airport,"Texada Island, British Columbia",Canada,4,20
50.0990867,-125.0236065,YGE,Gorge Harbour Airport,"Gorge Harbour, British Columbia",Canada,41,161
48.8544222,-123.4970719,YGG,Ganges Water Aerodrome,"Ganges, British Columbia",Canada,129,234
44.226404349999996,-76.60062637910816,YGK,Kingston/Norman Rogers Airport,"Kingston, Ontario",Canada,22,150
49.714139700000004,-83.68811012191951,YHF,Hearst (René Fontaine) Municipal Airport,"Hearst, Ontario",Canada,1,No info
50.0464809,-125.2555537,YHH,Campbell River Water Aerodrome,"Campbell River, British Columbia",Canada,1242,6693
43.170848750000005,-79.92753721554418,YHM,John C. Munro Hamilton International Airport,"Hamilton, Ontario",Canada,45855,236614
49.1931,-84.7589035,YHN,Hornepayne Municipal Airport,"Hornepayne, Ontario",Canada,1,No info
50.470598300000006,-59.63199459256151,YHR,Chevery Airport,"Chevery, Quebec",Canada,12,66
49.4602145,-123.71702618874023,YHS,Sechelt Aerodrome,"Sechelt, British Columbia",Canada,101,428
60.7892551,-137.539202,YHT,Haines Junction Airport,"Haines Junction, Yukon",Canada,2,104
48.543099299999994,-58.559355183351315,YJT,Stephenville Airport,"Stephenville, Newfoundland and Labrador",Canada,352,34802
50.70379125,-120.44790594917657,YKA,Kamloops Airport,"Kamloops, British Columbia",Canada,2020,65498
43.46011665,-80.38766081847507,YKF,Region of Waterloo International Airport,"Waterloo Regional Municipality, Ontario",Canada,16420,307368
62.091462500000006,129.76969577334057,YKS,Yakutsk Airport,"Yakutsk, Sakha (Yakutia) Republic",Russia,8,152
49.02990215,-77.01652790419863,YLS,Lebel-sur-Quévillon Airport,"Lebel-sur-Quévillon, Quebec",Canada,41,185
49.956703700000006,-119.37954941396475,YLW,Kelowna International Airport,"Kelowna, British Columbia",Canada,53698,2150317
63.6166166,-135.8690225156807,YMA,Mayo Airport,"Mayo, Yukon",Canada,3,385
52.3027992,-55.8471985,YMH,Mary's Harbour Airport,"Mary's Harbour, Labrador",Canada,3,2
47.59730375,-70.22319864498505,YML,Charlevoix Airport,"Charlevoix, Quebec",Canada,6,14
56.7325953,-111.3754674,YMM,Fort McMurray Airport,"Fort McMurray, Alberta",Canada,740,29580
50.5922315,-127.0883846,YMP,Port McNeill Airport,"Port McNeill, British Columbia",Canada,498,2751
46.2724388,-75.99223387219749,YMW,Maniwaki Airport,"Maniwaki, Quebec",Canada,4,8
45.6825019,-74.0275252,YMX,Montréal-Mirabel International Airport,"Mirabel, Quebec",Canada,74790,3111971
67.5673747,-139.849274,YOC,Old Crow Airport,"Old Crow, Yukon",Canada,612,2062
54.395547050000005,-110.26376575390684,YOD,CFB Cold Lake,"Cold Lake, Alberta",Canada,76,4519
43.9227762,-78.8950068,YOO,Oshawa Airport,"Oshawa, Ontario",Canada,14,25
45.32203645,-75.66726438915012,YOW,Ottawa/Macdonald-Cartier International Airport,"Ottawa, Ontario",Canada,450552,16231288
53.2166982,-105.675088,YPA,Prince Albert (Glass Field) Airport,"Prince Albert, Saskatchewan",Canada,2,160
45.25985195,-79.83095283040441,YPD,Parry Sound Area Municipal Airport,"Parry Sound, Ontario",Canada,26,106
44.2294344,-78.3672073,YPQ,Peterborough Airport,"Peterborough, Ontario",Canada,333,2731
49.6319343,-124.0425407,YPT,Pender Harbour Water Aerodrome,"Pender Harbour, British Columbia",Canada,79,147
49.83348945,-124.49884784745427,YPW,Powell River Airport,"Powell River, British Columbia",Canada,472,2770
44.9754065,-79.30674035378686,YQA,Muskoka Airport,"Muskoka, Ontario",Canada,126,420
46.792174849999995,-71.38577821056776,YQB,Québec/Jean Lesage International Airport,"Sainte-Foy, Quebec City, Quebec",Canada,89850,4020435
52.18576525,-113.88599970807856,YQF,Red Deer Regional Airport,"Red Deer, Alberta",Canada,3,24
42.27541855,-82.945034555007,YQG,Windsor Airport,"Windsor, Ontario",Canada,3337,11301
60.11951655,-128.81643855172976,YQH,Watson Lake Airport,"Watson Lake, Yukon",Canada,1,No info
43.8244588,-66.08582716371048,YQI,Yarmouth Airport,"Yarmouth, Nova Scotia",Canada,8,294
49.7896669,-94.3622078,YQK,Kenora Airport,"Kenora, Ontario",Canada,1564,16693
46.11647835,-64.67556069377879,YQM,Greater Moncton International Airport,"Moncton, New Brunswick",Canada,8599,343260
49.711201,-124.89458096570971,YQQ,CFB Comox,"Comox, British Columbia",Canada,15,169
50.4309977,-104.66560618608906,YQR,Regina International Airport,"Regina, Saskatchewan",Canada,50784,2449126
48.37209765,-89.32725832169425,YQT,Thunder Bay Airport,"Thunder Bay, Ontario",Canada,20046,312049
55.1800502,-118.87829242532925,YQU,Grande Prairie Airport,"Grande Prairie, Alberta",Canada,22,1159
52.768967,-108.25243233738087,YQW,North Battleford Airport,"North Battleford, Saskatchewan",Canada,1,No info
46.1601409,-60.04609658846361,YQY,Sydney/J.A. Douglas McCurdy Airport,"Sydney, Nova Scotia",Canada,63,1727
53.0246193,-122.5073650587199,YQZ,Quesnel Airport,"Quesnel, British Columbia",Canada,7,161
74.7166791,-94.96858868629138,YRB,Resolute Bay Airport,"Resolute, Nunavut",Canada,1,No info
48.5200005,-72.2656021,YRJ,Roberval Airport,"Roberval, Quebec",Canada,3,19
46.3567288,-72.67815017616294,YRQ,Trois-Rivières Airport,"Trois-Rivières, Quebec",Canada,36,297
46.625,-80.7988968,YSB,Sudbury Airport,"Greater Sudbury, Ontario",Canada,20,443
59.250382200000004,-105.84143669997378,YSF,Stony Rapids Airport,"Stony Rapids, Saskatchewan",Canada,2,27
45.31381415,-65.88597941149104,YSJ,Saint John Airport,"Saint John, New Brunswick",Canada,2180,15128
47.157274400000006,-67.83474899201278,YSL,Saint-Léonard Aerodrome,"Saint-Léonard, New Brunswick",Canada,2,13
50.6828003,-119.228996,YSN,Salmon Arm Airport,"Salmon Arm, British Columbia",Canada,81,32
48.75823135,-86.34818596362842,YSP,Marathon Aerodrome,"Marathon, Ontario",Canada,3,37
53.8450405,-94.8522875,YST,St. Theresa Point Airport,"St. Theresa Point, Manitoba",Canada,1,No info
46.4406013,-63.8335991,YSU,Summerside Airport,"Summerside, Prince Edward Island",Canada,9,459
45.863462999999996,-77.25299733792926,YTA,Pembroke Airport,"Pembroke, Ontario",Canada,1,2
48.5098133,-71.6502761,YTF,Alma Airport,"Alma, Quebec",Canada,1,6
49.1548919,-125.909561,YTP,Tofino Harbour Water Aerodrome,"Tofino, British Columbia",Canada,80,151
48.57027225,-81.37862174994194,YTS,Timmins/Victor M. Power Airport,"Timmins, Ontario",Canada,22,668
43.628057049999995,-79.39799115453366,YTZ,Billy Bishop Toronto City Airport,"Toronto, Ontario",Canada,179459,7951711
69.4309915,-133.01773322448315,YUB,Tuktoyaktuk/James Gruben Airport,"Tuktoyaktuk, Northwest Territories",Canada,21,652
68.7761002,-81.2435989,YUX,Hall Beach Airport,"Hall Beach, Nunavut",Canada,53,No info
48.2083786,-78.8323492,YUY,Rouyn-Noranda Airport,"Rouyn-Noranda, Quebec",Canada,10,36
48.07118955,-65.46021846014798,YVB,Bonaventure Airport,"Bonaventure, Quebec",Canada,8,465
48.0537795,-77.7846334,YVO,Val-d'Or Airport,"Val-d'Or, Quebec",Canada,3,50
58.0906856,-68.42739348649496,YVP,Kuujjuaq Airport,"Kuujjuaq, Quebec",Canada,8,No info
65.2805699,-126.79806851473037,YVQ,Norman Wells Airport,"Norman Wells, Northwest Territories",Canada,1,No info
49.193044,-123.17986424460963,YVR,Vancouver International Airport,"Vancouver, British Columbia",Canada,1510335,121361766
49.91046085,-97.2379281374448,YWG,Winnipeg James Armstrong Richardson International Airport,"Winnipeg, Manitoba",Canada,232627,12019096
48.4253301,-123.3904221,YWH,Victoria Inner Harbour Airport,"Victoria, British Columbia",Canada,40203,239930
52.1831017,-122.054,YWL,Williams Lake Airport,"Williams Lake, British Columbia",Canada,8,1419
49.612860850000004,-115.78391098859873,YXC,Cranbrook/Canadian Rockies International Airport,"Cranbrook, British Columbia",Canada,211,4537
50.0185704,-110.72105082680821,YXH,Medicine Hat Airport,"Medicine Hat, Alberta",Canada,2,69
53.88330435,-122.67442382203441,YXS,Prince George Airport,"Prince George, British Columbia",Canada,379,11342
43.03236375,-81.14876380261438,YXU,London International Airport,"London, Ontario",Canada,49901,922785
49.0226288,-122.3795503,YXX,Abbotsford International Airport,"Abbotsford, British Columbia",Canada,379,25523
60.7143977,-135.0764753,YXY,Erik Nielsen Whitehorse International Airport,"Whitehorse, Yukon",Canada,1849,98846
47.9641218,-84.78941127387685,YXZ,Wawa Airport,"Wawa, Ontario",Canada,8,1254
46.3639218,-79.41675415532114,YYB,North Bay/Jack Garland Airport,"North Bay, Ontario",Canada,31,1669
51.120751,-114.01057234296194,YYC,Calgary International Airport,"Calgary, Alberta",Canada,780393,61098631
54.82451285,-127.18542810245555,YYD,Smithers Airport,"Smithers, British Columbia",Canada,6,16
58.8058057,-122.69809702044094,YYE,Fort Nelson Airport,"Fort Nelson, British Columbia",Canada,1,No info
49.46431515,-119.60275322075378,YYF,Penticton Airport,"Penticton, British Columbia",Canada,168,1577
46.285879300000005,-63.131205085761316,YYG,Charlottetown Airport,"Charlottetown, Prince Edward Island",Canada,2295,75562
56.8638992,-101.075996,YYL,Lynn Lake Airport,"Lynn Lake, Manitoba",Canada,6,258
50.29086145,-107.69111929779997,YYN,Swift Current Airport,"Swift Current, Saskatchewan",Canada,10,754
58.7483682,-94.075267,YYQ,Churchill Airport,"Churchill, Manitoba",Canada,12,1267
47.619738299999995,-52.74791992027517,YYT,St. John's International Airport,"St. John's, Newfoundland and Labrador",Canada,11754,762546
49.40840675,-82.46398397530788,YYU,Kapuskasing Airport,"Kapuskasing, Ontario",Canada,44,468
48.6086006,-68.2080994,YYY,Mont-Joli Airport,"Mont-Joli, Quebec",Canada,5,472
62.457386650000004,-114.44111467626608,YZF,Yellowknife Airport,"Yellowknife, Northwest Territories",Canada,174,7020
42.998174399999996,-82.30882048716478,YZR,Sarnia Chris Hadfield Airport,"Sarnia, Ontario",Canada,6,56
50.68186165,-127.36977008238144,YZT,Port Hardy Airport,"Port Hardy, British Columbia",Canada,2489,12878
50.2233009,-66.2656021,YZV,Sept-Îles Airport,"Sept-Îles, Quebec",Canada,16,227
44.9844017,-64.9169006,YZX,CFB Greenwood / Greenwood Airport,"Greenwood, Nova Scotia",Canada,2,No info
